model,threshold,f1score,precision_score,accuracy_score,balanced_accuracy_score,recall_score,roc_auc_score,seed,cv,config,method,config_epochs,config_batch,config_pred_weights,config_input_weights
DTL,0.5,0.6880000000000001,0.86,0.9044117647058824,0.7761561561561562,0.5733333333333334,0.9363363363363364,Seed_112,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.391304347826087,0.2608695652173913,0.5882352941176471,0.6656406310119276,0.782608695652174,0.7719208242486426,Seed_112,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.6771653543307088,0.7413793103448276,0.8995098039215687,0.789470309093241,0.6231884057971014,0.8801248343379932,Seed_112,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4437299035369774,0.3122171945701357,0.5759803921568627,0.6443396226415095,0.7666666666666667,0.7326694619147449,Seed_112,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7065868263473054,0.7662337662337663,0.8799019607843137,0.799475890985325,0.6555555555555556,0.8906708595387841,Seed_112,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.5435897435897435,0.4416666666666666,0.7818627450980392,0.7527327327327327,0.7066666666666667,0.8281681681681682,Seed_113,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7272727272727272,0.7647058823529411,0.9044117647058824,0.8226426426426426,0.6933333333333334,0.93997997997998,Seed_113,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4867724867724867,0.3833333333333333,0.7622549019607843,0.724188790560472,0.6666666666666666,0.7947928690521995,Seed_113,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.732824427480916,0.7741935483870968,0.9142156862745098,0.8271771194048994,0.6956521739130435,0.9048779445085716,Seed_113,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.5357142857142857,0.4477611940298507,0.7450980392156863,0.7169811320754718,0.6666666666666666,0.7727638015373866,Seed_113,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
